Sample ID,Species,State,Project,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 1000 uL, use whole sample)",Amount of TE to add,Normalized (Letter for rack for yes),Library made,Note,Collector,Collector number,Locality,County,State,,Latitude,Longitude,Source,,,Verbatim latitude,Verbatim longitude
H23:2,Heuchera woodsiaphila,NM,genus,,1,1,1,1000,500.00,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,23,"Scree slope, Capitan Peak, NM, USA",,,,33.5962667,-105.25352,,,,33°35.776' N,105°15.211' W
H24:2,Heuchera novomexicana,NM,genus,,0.575,0.595,0.585,585,854.70,Vacuum centrifuge then add 25 uL,,2/5/2020,Input 4 uL,Folk,24,"Emory Pass Trail, NM, USA",,,,32.9242833,-107.77103,,,,32°55.457' N,107°46.262' W
H25:C,Heuchera novomexicana,NM,genus,,10.9,11,10.95,10950,45.66,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,32.93045,-107.77137,,,,32°55.827'N,107°46.282'W
H26:2,Heuchera rubescens var. versicolor,NM,genus,,7.51,7.4,7.455,7455,67.07,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,26,"Outcrop above Hwy 159, NM, USA",,,,33.3705556,-108.69278,,,,33°22'14' N,"108°41'34"" W"
H27:1,Heuchera rubescens var. versicolor,NM,genus,,2.36,2.33,2.345,2345,213.22,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,33.3716667,-107.33722,,,,"33°22'18""","-108°39'46"""
H27:2,Heuchera rubescens var. versicolor,NM,genus,,--,--,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,2/5/2020,Input 10 uL,,,,,,,33.3716667,-107.33722,,,,"33°22'18""","-108°39'46"""
H29,Heuchera rubescens var. versicolor,AZ,genus,,0.695,0.705,0.7,700,714.29,Vacuum centrifuge then add 25 uL,,2/5/2020,Input 4 uL,,,,,,,35.3353333,-792.98333,,,,35°20.120'N,"111°40,919'W"
H30,Heuchera rubescens var. versicolor,AZ,genus,,1.13,1.14,1.135,1135,440.53,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,30,"Humphrey's Peak, San Francisco Mts., AZ",,,,35.3429833,-110.31923,,,,35°20.579',-111°40.846'
H30.5,Heuchera rubescens var. versicolor,AZ,genus,,24.9,25.1,25,25000,20.00,5.00,,2/5/2020,,Folk,30,"Humphrey's Peak, San Francisco Mts., AZ",,,,35.3429833,-110.31923,,,,35°20.579',-111°40.846'
H31,Heuchera rubescens var. versicolor,AZ,genus,,15.9,15.9,15.9,15900,31.45,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,35.3367833,-111.69462,,,,35°20.207'N,111°41.677'W
H32:1,Heuchera inconstans,AZ,genus,,2.36,2.22,2.29,2290,218.34,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,35.0352778,-110.14056,,,,"35°02'07""","-111°51'34"""
H32:2,Heuchera inconstans,AZ,genus,,8.93,8.65,8.79,8790,56.88,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,35.0352778,-110.14056,,,,"35°02'07""","-111°51'34"""
H34:1,Heuchera inconstans,AZ,genus,,3.68,3.66,3.67,3670,136.24,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,35.0036111,-111.76972,,,,"35°00'13"" N","111°46'11"" W"
H34:2,Heuchera inconstans,AZ,genus,,7.88,7.65,7.765,7765,64.39,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,35.0036111,-111.76972,,,,"35°00'13"" N","111°46'11"" W"
H36,Heuchera eastwoodiae,AZ,genus,,5.02,5.01,5.015,5015,99.70,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,34.4158333,-111.56444,,,,"34°24'57""","-112°26'08"""
H39:2,Heuchera hirsutissima,CA,genus,,2.26,2.15,2.205,2205,226.76,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,39,"Mount San Jacinto, CA, USA",,,,33.8115833,-116.67575,,,,33°48.695' N,116°40.545' W
H40,Heuchera hirsutissima,CA,genus,,22,21.8,21.9,21900,22.83,2.17,,2/6/20,,,,,,,,33.8251833,-116.70208,,,,33°49.511' N,116°42.125' W
H42:1,Heuchera parishii,CA,genus,,4.36,4.21,4.285,4285,116.69,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,34.2113167,-116.79042,,,,34°12.679' N,116°47.425' W
