Accession,Species,Notes,State,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of HPLC water to add,Normalized (Letter/# for rack for yes),Library made,Note,Old Qubit 1 ,Old Qubit 2,Collector,Collector number,Locality,County,State,Country,Latitude,Longitude,Source,GPS source,Verbatim latitude,Verbatim longitude
A15-8,Heuchera richardsonii,,MO,,63.1,64.6,63.85,7853.55,7.830853563,17.16914644,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-9,Heuchera richardsonii,,MO,,15.7,15.5,15.6,1918.8,32.05128205,Vacuum centrifuge then add 25 uL,B,,Dropped while open,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A16-1,Heuchera richardsonii,,WS,,32.1,30.1,31.1,3825.3,16.07717042,8.922829582,B,2/11/20,,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-10,Heuchera richardsonii,,WS,,78,73.7,75.85,9329.55,6.591957811,18.40804219,B,,,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-11,Heuchera richardsonii,,WS,,93.8,89.1,91.45,11248.35,5.467468562,19.53253144,B,,,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-2,Heuchera richardsonii,,WS,,12.7,12.9,12.8,1574.4,39.0625,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-3,Heuchera richardsonii,,WS,,23.2,22.7,22.95,2822.85,21.78649237,3.213507625,B,,,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-4,Heuchera richardsonii,,WS,,3.34,3.79,3.565,438.495,Use whole sample,Vacuum centrifuge then add 25 uL,B,,Dropped while open,3.89,3.64,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-6,Heuchera richardsonii,,WS,,23.8,23.6,23.7,2915.1,21.09704641,3.902953586,A,2/1/20,,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-7,Heuchera richardsonii,,WS,,8.25,7.57,7.91,972.93,63.21112516,Vacuum centrifuge then add 25 uL,B,,Dropped while open,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-8,Heuchera richardsonii,,WS,,239,238,238.5,29335.5,2.096436059,22.90356394,B,,,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-9,Heuchera richardsonii,,WS,,51.8,49.2,50.5,6211.5,9.900990099,15.0990099,B,,One of these is A16-5,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
A16-9,Heuchera richardsonii,,WS,,64.2,62.8,63.5,7810.5,7.874015748,17.12598425,B,,One of these is A16-5,,,,,,,,,43.4175,-89.726944,,,"43°25'3"" N","89°43'37"" W"
