Accession,Species,Notes,State,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of HPLC water to add,Normalized (Letter/# for rack for yes),Library made,Note,Old Qubit 1 ,Old Qubit 2,Collector,Collector number,Locality,County,State,Country,Latitude,Longitude,Source,GPS source,Verbatim latitude,Verbatim longitude
H198:4,Heuchera parviflora var. parviflora,,KY,,174,181,177.5,21832.5,2.816901408,22.18309859,A,1/20/2020,,,,Folk,198,"Rockhouse above Gray's Arch trail, 0.25 mi past the arch, Daniel Boone National Forest",,,,37.8081556,-83.657641,,,37°48'29.360'N,83°39'27.509'W
H200:4,Heuchera parviflora var. parviflora,,KY,,169,173,171,21033,2.923976608,22.07602339,A,1/20/2020,,,,Folk,200,Rockhouse beside Anglin Falls,,,,37.4933508,-84.22659,,,37°29'36.063'N,"84°13'35.723""W"
H201:4,Heuchera parviflora var. parviflora,,KY,,272,313,292.5,35977.5,1.709401709,23.29059829,A,1/20/2020,,,,Folk,201,"Rockhouse 0.25 mi along trail to Box Canyon, Carter Caves State Park",,,,38.3556319,-83.111851,,,38°21'20.275'N,83°6'42.665'W
H203:4,Heuchera parviflora var. parviflora,,KY,,100,105,102.5,12607.5,4.87804878,20.12195122,A,1/20/2020,,,,Folk,203,"0.1 mi downstream of falls along visitor's center trail, Cumberland Falls State Park",,,,36.8372639,-84.343222,,,36°50'14.150'N,84°20'35.599'W
H204:3,Heuchera parviflora var. parviflora,,KY,,110,114,112,13776,4.464285714,20.53571429,A,1/20/2020,,,,Folk,204,"Honeymoon Falls Trail, 0.25 mi from road, Pine Mountain State Park",,,,36.7379806,-83.74075,,,36°44'16.730'N,83°44'26.700'W
H204:4,Heuchera parviflora var. parviflora,,KY,,103,105,104,12792,4.807692308,20.19230769,E,,,,,Folk,204,"Honeymoon Falls Trail, 0.25 mi from road, Pine Mountain State Park",,,,36.7379806,-83.74075,,,36°44'16.730'N,83°44'26.700'W
H205:4,Heuchera parviflora var. parviflora,,TN,,105,109,107,13161,4.672897196,20.3271028,E,,,,,Folk,205,"Rockhouse below Store 14 Rd near intersection with Tar Kiln Road, Pickett State Forest",,,,36.5810922,-84.833408,,,36°34'51.932'N,84°50'00.269'W
H207:4,Heuchera parviflora var. parviflora,,TN,,67.6,60.9,64.25,7902.75,7.782101167,17.21789883,A,1/20/2020,,,,Folk,207,"Roadside rockhouse, along Hwy 52 just W of Roadside Table, W of Jamestown",,,,36.4414822,-84.961229,,,36°26'29.336'N,84°57'40.423'W
H210:4,Heuchera missouriensis,,TN,,92.2,94.7,93.45,11494.35,5.350454789,19.64954521,E,,,,,Folk,210,"Side of Snoopers Rock, Prentice Cooper State Forest",,,,35.1016522,-85.429128,,,35°06'05.948'N,85°25'44.859'W
H211:4,Heuchera missouriensis,,TN,,23.5,25.3,24.4,3001.2,20.49180328,4.508196721,A,1/20/2020,,,,Folk,211,Foster Falls trail 0.75 mi past Foster Falls from parking area,,,,35.1825294,-85.673918,,,35°10'57.106'N,85°40'26.106'W
H212:4,Heuchera parviflora var. parviflora,,TN,,102,111,106.5,13099.5,4.694835681,20.30516432,A,1/20/2020,,,,Folk,212,"Fiery Gizzard Trail, rockhouse immediately below Grundy State Forest parking area",,,,35.2517336,-85.747382,,,35°15'06.241'N,85°44'50.575'W
H213:4,Heuchera missouriensis,,TN,,114,106,110,13530,4.545454545,20.45454545,A,1/20/2020,,,,Folk,213,Sewanee Natural Bridge Trail 0.1 mi past bridge along trail from the parking area,,,,35.1537725,-85.921924,,,35°09'13.581'N,85°55'18.928'W
H214:2,Heuchera americana var. americana,,TN,,36.7,36.3,36.5,4489.5,13.69863014,11.30136986,,1/31/2020,,,,,,,,,,35.1537725,-85.921924,,,35°09'13.581'N,85°55'18.928'W
H215:4,Heuchera parviflora var. parviflora,,KY,,85.4,87.1,86.25,10608.75,5.797101449,19.20289855,E,,,,,Folk,215,"First sandstone bluff above Knobby Rock Trail from parking area, Blanton Woods",,,,35.8622667,-82.846424,,,35°51'44.160'N,82°50'47.127'W
H216:2,Heuchera caroliniana,,SC,,54.4,53.3,53.85,6623.55,9.285051068,15.71494893,B,,,,,Folk,216,"Bank along Rocky Creek, intersection with Hwy 97, SC",,,,34.5482083,-80.840684,,,"34°32'53.550""","80°50'26.464"""
H217:4,Heuchera missouriensis,,AL,,77.7,80.4,79.05,9723.15,6.325110689,18.67488931,E,,,,,Folk,217,Rockhouse near Black Creek Falls,,,,34.041468,-86.02128,,,,
H218:2,Heuchera missouriensis,,AL,Yes,58.4,57.2,57.8,7109.4,8.650519031,16.34948097,C,,,,,,,,,,,34.395067,-85.626911,,,,
H218:3,Heuchera missouriensis,,AL,,23.1,21.5,22.3,2742.9,22.42152466,2.578475336,A,2/1/20,,,,,,,,,,34.395067,-85.626911,,,,
H218:4,Heuchera missouriensis,,AL,Yes,58.9,56.4,57.65,7090.95,8.673026886,16.32697311,C,,,,,,,,,,,34.395067,-85.626911,,,,
H220:4,Heuchera missouriensis,,AL,Yes,63.2,61,62.1,7638.3,8.051529791,16.94847021,C,,,,,Folk,220,Rockhouse along CR 60 near Sispey River Picnic Area,,,,34.2855342,-87.398618,,,34°17'07.923'N,87°23'55.024'W
H221:4,Heuchera missouriensis,,AL,,40.8,41.7,41.25,5073.75,12.12121212,12.87878788,E,,,,,Folk,221,Rockhouse along CR 3 0.25 mi short of dead end,,,,34.3408219,-87.47452,,,34°20'26.959'N,87°28'28.271'W
H222:4,Heuchera puberula,,AR,,30,32.2,31.1,3825.3,16.07717042,8.922829582,A,1/20/2020,,,,,,,,,,36.0060614,-92.046855,,,36°00'21.821'N,92°2'48.679'W
H223:4,Heuchera puberula,,AR,Yes,2.96,3.27,3.115,383.145,Use whole sample,Vacuum centrifuge then add 25 uL,C,,Fell in vaccume centrefuge,4.22,4.23,Folk,223,"1/3 mi downstream of Gunner Pool Road's bridge over Sylamore Creek, Gunner Pool Recreation Area",,,,35.9963178,-92.213088,,,35°59'46.744'N,92°12'47.118W
H224:4,Heuchera puberula,,AR,Yes,8.64,9.46,9.05,1113.15,Use whole sample,Vacuum centrifuge then add 25 uL,C,,Fell in vaccume centrefuge,4.49,4.57,,,,,,,36.1389981,-92.31618,,,36°08'20.393'N,92°18'58.248'W
H225:4,Heuchera missouriensis,,KY,,67.8,76.6,72.2,8880.6,6.925207756,18.07479224,E,,,,,Folk,225,Foster Falls trail 0.75 mi past Foster Falls from parking area,,,,37.1462231,-87.752115,,,37°08'46.403'N,87°45'07.614'W
H226:4,Heuchera missouriensis,,KY,Yes,19,18.3,18.65,2293.95,26.80965147,Vacuum centrifuge then add 25 uL,C,,,,,Folk,226,"Along Hwy 62, NW side of bridge over Clifty Creek",,,,37.5246667,-86.17638,,,37°31'28.800'N,86°10'34.969'W
H227:4,Heuchera missouriensis,,KY,,47.5,48.2,47.85,5885.55,10.44932079,14.55067921,E,,,,,Folk,227,Along Kentucky 728 NW of Nolin Dam,,,,37.2788247,-86.251023,,,37°16'43.769'N,86°15'03.682'W
H228:4,Heuchera missouriensis,,KY,,68.5,69.4,68.95,8480.85,7.251631617,17.74836838,E,,,,,Folk,228,"0.25 mi along trail from parking, Shanty Hollow",,,,37.1446842,-86.38404,,,37°08'40.863'N,86°23'02.543'W
H229:4,Heuchera parviflora var. saurensis,,NC,,25.5,25.1,25.3,3111.9,19.76284585,5.23715415,A,1/20/2020,,,,Folk,229,"Cliffs at base of Lower Cascade Falls, Hanging Rock State Park",,,,36.4146914,-80.264972,,,36°24'52.889'N,80°15'53.898'W
H229:5,Heuchera parviflora var. saurensis,,NC,,56.6,56.6,56.6,6961.8,8.833922261,16.16607774,A,1/20/2020,,,,Folk,229,"Cliffs at base of Lower Cascade Falls, Hanging Rock State Park",,,,36.4146914,-80.264972,,,36°24'52.889'N,80°15'53.898'W
H229:6,Heuchera parviflora var. parviflora,,NC,,8.38,9.98,9.18,1129.14,54.46623094,Vacuum centrifuge then add 25 uL,x,,Was mislabelled H239:6 THEN H230:6 ****I think supposed to be H229:6,49.6,50.2,Folk,229,"Cliffs at base of Lower Cascade Falls, Hanging Rock State Park",,,,36.4146914,-80.264972,,,36°24'52.889'N,80°15'53.898'W
H230:4,Heuchera parviflora var. parviflora,,NC,,16.1,31.5,23.8,2927.4,21.00840336,3.991596639,A,1/20/2020,,,,Folk,230,"Rockhouse behind waterfall, side of Cold Mountain Road several miles from Toxaway",,,,35.1594042,-82.973663,,,35°09'33.855'N,82°58'25.185'W
H230:5,Heuchera parviflora var. parviflora,,NC,,18.4,19.8,19.1,2349.3,26.17801047,Vacuum centrifuge then add 25 uL,A,1/20/2020,,,,Folk,230,"Rockhouse behind waterfall, side of Cold Mountain Road several miles from Toxaway",,,,35.1594042,-82.973663,,,35°09'33.855'N,82°58'25.185'W
H230:6,Heuchera parviflora var. parviflora,,NC,Yes,34.5,33.4,33.95,4175.85,14.7275405,10.2724595,C,,,,,Folk,230,"Rockhouse behind waterfall, side of Cold Mountain Road several miles from Toxaway",,,,35.1594042,-82.973663,,,35°09'33.855'N,82°58'25.185'W
H230:7,Heuchera parviflora var. parviflora,,NC,,14.3,15.1,14.7,1808.1,34.01360544,Vacuum centrifuge then add 25 uL,A,1/20/2020,,,,Folk,230,"Rockhouse behind waterfall, side of Cold Mountain Road several miles from Toxaway",,,,35.1594042,-82.973663,,,35°09'33.855'N,82°58'25.185'W
H230:8,Heuchera parviflora var. parviflora,,NC,Yes,2.52,2.5,2.51,308.73,Use whole sample,Vacuum centrifuge then add 25 uL,C,,Fell in vaccume centrefuge,,,Folk,230,"Rockhouse behind waterfall, side of Cold Mountain Road several miles from Toxaway",,,,35.1594042,-82.973663,,,35°09'33.855'N,82°58'25.185'W
H230:9,Heuchera parviflora var. parviflora,,NC,,26.5,26.1,26.3,3234.9,19.01140684,5.988593156,A,1/20/2020,,,,Folk,230,"Rockhouse behind waterfall, side of Cold Mountain Road several miles from Toxaway",,,,35.1594042,-82.973663,,,35°09'33.855'N,82°58'25.185'W
H231:4,Heuchera parviflora var. parviflora,,NC,Yes,36.4,34.8,35.6,4378.8,14.04494382,10.95505618,C,,,,,Folk,231,"Rockhouse above Paradise Falls near Wolf Creek Dam, below Hwy 281",,,,35.2255206,-83.003488,,,35°13'31.874'N,83°00'12.557'W
H232:4,Heuchera parviflora var. saurensis,,NC,Yes,53.9,52.2,53.05,6525.15,9.425070688,15.57492931,D,,,,,Folk,232,"Side of Table Rock Mountain, 1/4 mi along trail from parking area",,,,35.8864519,-81.884293,,,35°53'11.227'N,81°53'3.456'W
H232:5,Heuchera parviflora var. saurensis,,NC,,104,111,107.5,13222.5,4.651162791,20.34883721,A,1/20/2020,,,,,,,,,,35.8864519,-81.884293,,,35°53'11.227'N,81°53'3.456'W
H246,Heuchera americana var. americana,,OH,,38.3,37.4,37.85,4655.55,13.21003963,11.78996037,,1/31/2020,Called ALUM in notebook,,,,,,,,,40.267491,82.951414,,,,
H32:2,Heuchera inconstans,,AZ,Yes,22.7,24.3,23.5,2890.5,21.27659574,3.723404255,D,done,,,,,,,,,,35.0352778,-110.14056,,,"35°02'07""","-111°51'34"""
H59:2,Heuchera americana var. hirsuticaulis,,MO,,14.4,11.2,12.8,1574.4,39.0625,Vacuum centrifuge then add 25 uL,x,done,,,,Folk,59,"Roadside woods off Hwy 19, Mark Twain NF, Shannon Co. MO",,,,37.39023,-91.45272,,,37.39023°,-91.45272°
H61:1,Heuchera americana var. hirsuticaulis,,MO,,39.1,39.6,39.35,4840.05,12.7064803,12.2935197,,1/31/2020,,,,,,,,,,36.94794,-90.99215,,,36.94794°,90.99215°
H62:2,Heuchera americana var. hirsuticaulis,,MO,,24.1,23.8,23.95,2945.85,20.87682672,4.123173278,,1/31/2020,,,,,,,,,,37.19118,-89.63458,,,,
H62:3,Heuchera americana var. hirsuticaulis,,MO,,14.6,14.4,14.5,1783.5,34.48275862,Vacuum centrifuge then add 25 uL,x,done,,,,,,,,,,37.19118,-89.63458,,,,
H62:4,Heuchera americana var. hirsuticaulis,,MO,,23.8,22.8,23.3,2865.9,21.45922747,3.540772532,,1/31/2020,,,,,,,,,,37.19118,-89.63458,,,,
H62:5,Heuchera americana var. hirsuticaulis,,MO,,61.7,59.5,60.6,7453.8,8.250825083,16.74917492,x,done,,,,,,,,,,37.19118,-89.63458,,,,
H62:6,Heuchera americana var. hirsuticaulis,,MO,,20.8,20.3,20.55,2527.65,24.33090024,0.6690997567,x,done,,,,,,,,,,37.19118,-89.63458,,,,
H72:3,Heuchera parviflora var. parviflora,,KY,Yes,12.5,12,12.25,1506.75,40.81632653,Vacuum centrifuge then add 25 uL,C,,,,,Folk,72,"Natural Bridge State Park, KY, USA",,,,37.7739806,-83.680942,,,"37°46'26.33"" N","83°40'51.39"" W"
H79:4,Heuchera parviflora var. parviflora,,OH,Yes,14.1,20.6,17.35,2134.05,28.8184438,Vacuum centrifuge then add 25 uL,x,,Merged with Legacy DNA's rack for library process,14.6,14.8,Folk,79,"Vesuvius Lake, rockhouse above picnic area next to the dam",,,,38.607075,-82.628467,,,"38°36'25.47"" N","82°37'42.48"" W"
H79:5,Heuchera parviflora var. parviflora,,OH,Yes,18.4,17.5,17.95,2207.85,27.8551532,Vacuum centrifuge then add 25 uL,C,,,,,Folk,79,"Vesuvius Lake, rockhouse above picnic area next to the dam",,,,38.607075,-82.628467,,,"38°36'25.47"" N","82°37'42.48"" W"
H97:10,Heuchera parviflora var. saurensis,,NC,Yes,23.8,23.2,23.5,2890.5,21.27659574,3.723404255,C,,,,,Folk,97,"Side of the big knob, Pilot Mountain State Park",Surry,NC,,36.340181,-80.474366,,,,
H97:6,Heuchera parviflora var. saurensis,,NC,Yes,36.6,35.5,36.05,4434.15,13.86962552,11.13037448,C,,,,,Folk,97,"Side of the big knob, Pilot Mountain State Park",Surry,NC,,36.340181,-80.474366,,,,
H97:7,Heuchera parviflora var. saurensis,,NC,Yes,46.4,46.1,46.25,5688.75,10.81081081,14.18918919,D,,,,,Folk,97,"Side of the big knob, Pilot Mountain State Park",Surry,NC,,36.340181,-80.474366,,,,
H97:8,Heuchera parviflora var. saurensis,,NC,Yes,13.6,14,13.8,1697.4,36.23188406,Vacuum centrifuge then add 25 uL,D,,,,,Folk,97,"Side of the big knob, Pilot Mountain State Park",Surry,NC,,36.340181,-80.474366,,,,
H97:9,Heuchera parviflora var. saurensis,,NC,Yes,61.8,57.9,59.85,7361.55,8.354218881,16.64578112,C,,,,,Folk,97,"Side of the big knob, Pilot Mountain State Park",Surry,NC,,36.340181,-80.474366,,,,
I100-C,Heuchera inconstans,,AZ,,25.8,23.8,24.8,3050.4,20.16129032,4.838709677,,1/31/2020,,,,,,"West of AZ Hwy. 89A in Sterling Canyon, a tributary of Oak Creek Canyon, 35.0244 -111.7429, Coconino County, Arizona, 11 Apr 2014. Maianthemum racemosum, Antennaria marginata, Senecio arizonicus, Taraxacum officinale, Symphoricarpos rotundifolius, Paxistima myrsinites, Quercus gambelii, Quercus palmeri, Geranium caespitosum, Ribes cereum, Goodyera oblongifolia, Pinus ponderosa, Pseudotsuga menziesii, Polypodium hesperium, Thalictrum fendleri, Holodiscus dumosus, Prunus virginiana, Heuchera parvifolia var. arizonica, Heuchera rubescens, Viola canadensis, etc. Both Heuchera fairly common and scattered throughout this section of the canyon, mostly in cracks in open sandstone or in mats of moss on the cliffs.",Coconino,AZ,,35.0244,-111.7429,,,,
I108-C,Heuchera soltisii,,NM,,10.8,10.1,10.45,1285.35,47.84688995,Vacuum centrifuge then add 25 uL,x,,,,,,,"Indian Hollow, Organ Mountains",Doña Ana,NM,,32.35199,-106.54712,,,,
I2,Heuchera americana var. americana,,OH,,13.6,13.5,13.55,1666.65,36.900369,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,41.174476,-84.256819,,,,
I59-C,Heuchera pilosissima,,CA,,41,38.4,39.7,4883.1,12.59445844,12.40554156,x,,,,,Folk,I-59,"Marshall, Marin Co., CA, USA",Marin,CA,,38.156022,-122.891765,,,,
I60-C,Tellima grandiflora,,CA,,20.8,19,19.9,2447.7,25.12562814,Vacuum centrifuge then add 25 uL,x,done,,,,,,"Marshall, Marin Co., CA, USA",Marin,CA,,38.154761,-122.890719,,,,
I90-C,Heuchera inconstans,,AZ,,25,22.9,23.95,2945.85,20.87682672,4.123173278,,1/31/2020,called COC in notebook,,,,,"Coconino County, Oak Creek Canyon, just above Call of the Canyon on the east side. Elevation 1676 m (5500 ft). Mixed conifer forest, on steep terraine with sandstone ledges. Sandy soils derived from Coconino Sanstone, mixed with conifer duff. Perennial herb, occasional on or near exposed sandstone. Associated species: Pinus ponderosa, Abies concolor, Pseudotsuga menziesii, Holodiscus dumosa, Senecio arizonicus, Valeriana arizonica, Draba asprella. Max Licher 4247, 5 April 2013 [barely in infl].",Coconino,AZ,,34.99126,-111.73521,,,,
I99-C,Heuchera eastwoodiae,,AZ,,25.6,24.7,25.15,3093.45,19.88071571,5.119284294,,1/31/2020,,,,,,,,,,34.4276,-112.4298,,,,
L1-3,Heuchera longiflora var. aceroides,,NC,Yes,17.2,18.5,17.85,2195.55,28.01120448,Vacuum centrifuge then add 25 uL,C,,,,,Folk,L-1,,,,,35.7467139,-82.872478,,,"35°44'48.17""N","82°52'20.92""W"
L1-4,Heuchera longiflora var. aceroides,,NC,Yes,28.9,27.9,28.4,3493.2,17.6056338,7.394366197,C,,,,,Folk,L-1,,,,,35.7467139,-82.872478,,,"35°44'48.17""N","82°52'20.92""W"
L11-3,Heuchera longiflora var. longiflora,,KY,Yes,7.01,7.7,7.355,904.665,Use whole sample,Vacuum centrifuge then add 25 uL,C,,Fell in vaccume centrefuge,9.48,9.26,Folk,L-11,,,,,38.0242556,-83.713053,,,"38° 1'27.32""N","83°42'46.99""W"
L11-4,Heuchera longiflora var. longiflora,,KY,Yes,15,14.9,14.95,1838.85,33.44481605,Vacuum centrifuge then add 25 uL,C,,,,,Folk,L-11,,,,,38.0242556,-83.713053,,,"38° 1'27.32""N","83°42'46.99""W"
L12-3,Heuchera longiflora var. longiflora,,KY,Yes,2.59,2.51,2.55,313.65,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,Folk,L-12,,,,,38.1094472,-83.465361,,,"38° 6'34.01""N","83°27'55.30""W"
L12-4,Heuchera longiflora var. longiflora,,KY,Yes,3.14,3.22,3.18,391.14,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,Folk,L-12,,,,,38.1094472,-83.465361,,,"38° 6'34.01""N","83°27'55.30""W"
L13-3,Heuchera longiflora var. longiflora,,KY,Yes,8.64,8.18,8.41,1034.43,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,Folk,L-13,,,,,38.1203222,-83.237625,,,"38° 7'13.16""N","83°14'15.45""W"
L13-4,Heuchera longiflora var. longiflora,,KY,,19.8,17.8,18.8,2312.4,26.59574468,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-13,,,,,38.1203222,-83.237625,,,"38° 7'13.16""N","83°14'15.45""W"
L15-3,Heuchera longiflora var. longiflora,,KY,,14.8,10.8,12.8,1574.4,39.0625,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-15,,,,,38.1202972,-82.689297,,,"38° 7'13.07""N","82°41'21.47""W"
L16-3,Heuchera longiflora var. longiflora,,KY,,12.9,12,12.45,1531.35,40.16064257,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-16,,,,,37.9456444,-82.868289,,,"37°56'44.32""N","82°52'5.84""W"
L17-3,Heuchera longiflora var. longiflora,,KY,Yes,4.59,4.61,4.6,565.8,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,Folk,L-17,,,,,37.5719167,-82.552183,,,"37°34'18.90""N","82°33'7.86""W"
L17-4,Heuchera longiflora var. longiflora,,KY,,14.7,13,13.85,1703.55,36.10108303,Vacuum centrifuge then add 25 uL,F,,Changed L17-7 to L17-4,,,Folk,L-17,,,,,37.5719167,-82.552183,,,"37°34'18.90""N","82°33'7.86""W"
L18-3,Heuchera longiflora var. longiflora,,KY,Yes,5.77,6.41,6.09,749.07,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,L-18,,,,,37.4021167,-82.469044,,,"37°24'7.62""N","82°28'8.56""W"
L19-3,Heuchera longiflora var. longiflora,,KY,Yes,24.2,23.6,23.9,2939.7,20.92050209,4.079497908,C,,,,,Folk,L-19,,,,,37.1404389,-86.384603,,,"37° 8'25.58""N","86°23'4.57""W"
L19-4,Heuchera longiflora var. longiflora,,KY,,20.4,18.7,19.55,2404.65,25.57544757,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-19,,,,,37.1404389,-86.384603,,,"37° 8'25.58""N","86°23'4.57""W"
L2-3,Heuchera longiflora var. aceroides,,NC,Yes,9.81,9.52,9.665,1188.795,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,Folk,L-2,,,,,35.7844306,-82.871331,,,"35°47'3.95""N","82°52'16.79""W"
L20-3,Heuchera longiflora var. longiflora,,KY,Yes,20.9,21.1,21,2583,23.80952381,1.19047619,C,,,,,Folk,L-20,,,,,37.6304667,-83.770767,,,"37°37'49.68""N","83°46'14.76""W"
L21-3,Heuchera longiflora var. longiflora,,KY,Yes,41.5,39.9,40.7,5006.1,12.28501229,12.71498771,C,,,,,Folk,L-21,,,,,36.9511944,-82.881661,,,"36°57'4.30""N","82°52'53.98""W"
L21-4,Heuchera longiflora var. longiflora,,KY,,13.3,11.9,12.6,1549.8,39.68253968,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-21,,,,,36.9511944,-82.881661,,,"36°57'4.30""N","82°52'53.98""W"
L22-3,Heuchera longiflora var. longiflora,,KY,Yes,4.1,4.33,4.215,518.445,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,L-22,,,,,37.102275,-82.968672,,,"37° 6'8.19""N","82°58'7.22""W"
L22-4,Heuchera longiflora var. longiflora,,KY,Yes,5.06,5.35,5.205,640.215,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,L-22,,,,,37.102275,-82.968672,,,"37° 6'8.19""N","82°58'7.22""W"
L3-3,Heuchera longiflora var. aceroides,,NC,,6.42,5.83,6.125,753.375,81.63265306,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-3,,,,,35.92865,-82.750078,,,"35°55'43.14""N","82°45'0.28""W"
L3-4,Heuchera longiflora var. aceroides,,NC,,8.16,7.27,7.715,948.945,64.808814,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-3,,,,,35.92865,-82.750078,,,"35°55'43.14""N","82°45'0.28""W"
L4-3,Heuchera longiflora var. aceroides,,NC,Yes,45.6,46.3,45.95,5651.85,10.88139282,14.11860718,C,,,,,Folk,L-4,,,,,35.9523583,-82.717192,,,"35°57'8.49""N","82°43'1.89""W"
L4-4,Heuchera longiflora var. aceroides,,NC,,15,12.6,13.8,1697.4,36.23188406,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-4,,,,,35.9523583,-82.717192,,,"35°57'8.49""N","82°43'1.89""W"
L6-3,Heuchera longiflora var. longiflora,,KY,Yes,18.2,17.6,17.9,2201.7,27.93296089,Vacuum centrifuge then add 25 uL,C,,,,,Folk,L-6,,,,,36.8558167,-82.747758,,,"36°51'20.94""N","82°44'51.93""W"
L6-4,Heuchera longiflora var. longiflora,,KY,,17.8,16.1,16.95,2084.85,29.49852507,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-6,,,,,36.8558167,-82.747758,,,"36°51'20.94""N","82°44'51.93""W"
L8-3,Heuchera longiflora var. longiflora,,KY,,5.75,5.27,5.51,677.73,90.74410163,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-8,,,,,36.7041139,-82.777372,,,"36°42'14.81""N","82°46'38.54""W"
L9-3,Heuchera longiflora var. longiflora,,KY,,5.78,5.07,5.425,667.275,92.16589862,Vacuum centrifuge then add 25 uL,F,,,,,Folk,L-9,,,,,37.1037417,-82.668386,,,"37° 6'13.47""N","82°40'6.19""W"
I102,Heuchera novomexicana,,NM,,20.9,20.8,20.85,2564.55,23.98081535,1.019184652,,,,,,Alexander,1425,,,,,34.4243,-107.0916,OS,,,
I103,Heuchera soltisii,,NM,,10.4,10.6,10.5,1291.5,47.61904762,Vacuum centrifuge then add 25 uL,,,,,,Alexander,1427,,,,,32.5414,-107.7258,OS,,,
I104,Heuchera novomexicana,,NM,,37.6,37.5,37.55,4618.65,13.31557923,11.68442077,,,,,,Alexander,1434,,,,,33.3195,-106.5352,OS,,,
I131,Heuchera parvifolia,,NM,,46.7,46.7,46.7,5744.1,10.70663812,14.29336188,,,,,,Alexander,s.n.,,,,,34.28534,-107.90746,OS,,,
I132,Heuchera novomexicana,,NM,,23.6,23.5,23.55,2896.65,21.23142251,3.768577495,,,,,,Alexander,1266,,,,,33.3379,-107.8126,OS,,,
I133,Heuchera parvifolia,,NM,,32.7,32.9,32.8,4034.4,15.24390244,9.756097561,,,,,,Worthington,37458,,,,,32.983333,-105.65,OS,,32° 59.930' N,105° 39.842' W
I134,Heuchera villosa,,WV,,16.2,16,16.1,1980.3,31.05590062,Vacuum centrifuge then add 25 uL,,,,,,Spooner,2371,,,,,38.168074,-81.192428,OS,,,
I135,Heuchera villosa,,KY,,7.51,7.44,7.475,919.425,66.88963211,Vacuum centrifuge then add 25 uL,,,,,,Kiel,3982,,,,,37.83526,-82.862094,OS,,,
I136,Heuchera richardsonii,,IL,,26.3,26.1,26.2,3222.6,19.08396947,5.916030534,,,,,,Kiel,7516,Iroquois County Conservation Area,Iroquois,IL,,40.988744,-87.574145,OS,Google Earth,,
I137,Heuchera americana var. hirsuticaulis,,MI,Yes,11.7,11.6,11.65,559.2,42.91845494,Vacuum centrifuge then add 25 uL,,,,,,Stuckey,2672,"Local in woods adjacent to abandoned railroad grade, Sec. 5 & 6, T4S, R4E, ca. 1 & 2 mi E of Manchester",Washtenaw,MI,,42.15855,-83.981033,OS,Geolocate,,
I138,Heuchera richardsonii,,IA,,21.5,21.2,21.35,2626.05,23.41920375,1.580796253,,,,,,Lammers,4198,Lester Twp. T90N R11W S32 NW1/4. Along railroad tracks at west edge of Dunkerton.,Black Hawk,IA,,42.562706,-92.170769,OS,Geolocate,,
I139,Heuchera americana var. americana,,AL,Yes,7.44,7.39,7.415,355.92,Use whole sample,Vacuum centrifuge then add 25 uL,,,,,,Cusick,7363,,Dekalb,AL,,34.5708167,-105.993007,OS,County,,
I140,Heuchera americana var. americana,,Ontario,Yes,19.2,19.1,19.15,919.2,26.10966057,Vacuum centrifuge then add 25 uL,,,,,,Roberts,1503,,Essex,,Canada,41.682508,-82.682775,OS,Google Earth,,
I141,Heuchera americana var. americana,,IN,,19.8,19.2,19.5,2398.5,25.64102564,Vacuum centrifuge then add 25 uL,,,,,,Stott,15320,"Greasy Creek Road, Nashville",,IN,,39.199771,-86.245268,OS,Geolocate,,
I142,Heuchera longipetala var. nudicaulis,,Jalisco,Yes,1.32,1.35,1.335,64.08,Use whole sample,Vacuum centrifuge then add 25 uL,,,,,,Nagel,8055,Nevado of Ciudad Guzman,,Jalisco,Canada,19.7,-103.483333,MINN,Geolocate,,
I143,Heuchera richardsonii,,ND,Yes,12.9,13,12.95,621.6,38.61003861,Vacuum centrifuge then add 25 uL,,,,,,Stevens,3102,,Benson,ND,,48.0191362,-99.403103,MINN,County,,
I144,Heuchera richardsonii,,Ontario,Yes,7.95,7.93,7.94,381.12,Use whole sample,Vacuum centrifuge then add 25 uL,,,,,,Baldwin,8679,"Pelican Lake: at ""The Lookout"" rock knob.",,Ontario,Canada,50.1,-91.95,MINN,Specimen,50°06' N,91°57' W
